permno,prc,ticker,comnam,ym
84788,1.956999969482422,AMZN,AMAZON COM INC,2007m2
86868,201.75,GS,GOLDMAN SACHS GROUP INC,2007m2
84398,142,SPY,SPDR TRUST,2007m3
84788,1.989500045776367,AMZN,AMAZON COM INC,2007m3
86868,206.6300048828125,GS,GOLDMAN SACHS GROUP INC,2007m3
84398,148.2899932861328,SPY,SPDR TRUST,2007m4
84788,3.066500091552734,AMZN,AMAZON COM INC,2007m4
86868,218.6100006103516,GS,GOLDMAN SACHS GROUP INC,2007m4
84398,153.3200073242188,SPY,SPDR TRUST,2007m5
84788,3.456999969482422,AMZN,AMAZON COM INC,2007m5
86868,230.8200073242188,GS,GOLDMAN SACHS GROUP INC,2007m5
84398,150.4299926757813,SPY,SPDR TRUST,2007m6
84788,3.420500183105469,AMZN,AMAZON COM INC,2007m6
86868,216.75,GS,GOLDMAN SACHS GROUP INC,2007m6
84398,145.7200012207031,SPY,SPDR TRUST,2007m7
84788,3.927000045776367,AMZN,AMAZON COM INC,2007m7
86868,188.3399963378906,GS,GOLDMAN SACHS GROUP INC,2007m7
84398,147.5899963378906,SPY,SPDR TRUST,2007m8
84788,3.995500183105469,AMZN,AMAZON COM INC,2007m8
86868,176.0099945068359,GS,GOLDMAN SACHS GROUP INC,2007m8
84398,152.5800018310547,SPY,SPDR TRUST,2007m9
84788,4.657500076293945,AMZN,AMAZON COM INC,2007m9
86868,216.7400054931641,GS,GOLDMAN SACHS GROUP INC,2007m9
84398,154.6499938964844,SPY,SPDR TRUST,2007m10
84788,4.457500076293945,AMZN,AMAZON COM INC,2007m10
86868,247.9199981689453,GS,GOLDMAN SACHS GROUP INC,2007m10
84398,148.6600036621094,SPY,SPDR TRUST,2007m11
84788,4.527999877929688,AMZN,AMAZON COM INC,2007m11
86868,226.6399993896484,GS,GOLDMAN SACHS GROUP INC,2007m11
84398,146.2100067138672,SPY,SPDR TRUST,2007m12
84788,4.631999969482422,AMZN,AMAZON COM INC,2007m12
86868,215.0500030517578,GS,GOLDMAN SACHS GROUP INC,2007m12
84398,137.3699951171875,SPY,SPDR TRUST,2008m1
84788,3.884999847412109,AMZN,AMAZON COM INC,2008m1
86868,199.5500030517578,GS,GOLDMAN SACHS GROUP INC,2008m1
84398,133.8200073242188,SPY,SPDR TRUST,2008m2
84788,3.223500061035156,AMZN,AMAZON COM INC,2008m2
86868,169.6300048828125,GS,GOLDMAN SACHS GROUP INC,2008m2
84398,131.9700012207031,SPY,SPDR TRUST,2008m3
84788,3.565000152587891,AMZN,AMAZON COM INC,2008m3
86868,165.3899993896484,GS,GOLDMAN SACHS GROUP INC,2008m3
84398,138.2599945068359,SPY,SPDR TRUST,2008m4
84788,3.931499862670898,AMZN,AMAZON COM INC,2008m4
86868,191.3699951171875,GS,GOLDMAN SACHS GROUP INC,2008m4
84398,140.3500061035156,SPY,SPDR TRUST,2008m5
84788,4.081000137329101,AMZN,AMAZON COM INC,2008m5
86868,176.4100036621094,GS,GOLDMAN SACHS GROUP INC,2008m5
84398,127.9800033569336,SPY,SPDR TRUST,2008m6
84788,3.666500091552734,AMZN,AMAZON COM INC,2008m6
86868,174.8999938964844,GS,GOLDMAN SACHS GROUP INC,2008m6
84398,126.8300018310547,SPY,SPDR TRUST,2008m7
84788,3.816999816894531,AMZN,AMAZON COM INC,2008m7
86868,184.0399932861328,GS,GOLDMAN SACHS GROUP INC,2008m7
84398,128.7899932861328,SPY,SPDR TRUST,2008m8
84788,4.040499877929688,AMZN,AMAZON COM INC,2008m8
86868,163.9700012207031,GS,GOLDMAN SACHS GROUP INC,2008m8
84398,115.9899978637695,SPY,SPDR TRUST,2008m9
84788,3.638000106811524,AMZN,AMAZON COM INC,2008m9
86868,128,GS,GOLDMAN SACHS GROUP INC,2008m9
84398,96.83000183105469,SPY,SPDR TRUST,2008m10
84788,2.86200008392334,AMZN,AMAZON COM INC,2008m10
86868,92.5,GS,GOLDMAN SACHS GROUP INC,2008m10
84398,90.08999633789063,SPY,SPDR TRUST,2008m11
84788,2.135000038146972,AMZN,AMAZON COM INC,2008m11
86868,78.98999786376953,GS,GOLDMAN SACHS GROUP INC,2008m11
84398,90.23999786376953,SPY,SPDR TRUST,2008m12
84788,2.563999938964844,AMZN,AMAZON COM INC,2008m12
86868,84.38999938964844,GS,GOLDMAN SACHS GROUP INC,2008m12
84398,82.83000183105469,SPY,SPDR TRUST,2009m1
84788,2.940999984741211,AMZN,AMAZON COM INC,2009m1
86868,80.73000335693359,GS,GOLDMAN SACHS GROUP INC,2009m1
84398,73.93000030517578,SPY,SPDR TRUST,2009m2
84788,3.239500045776367,AMZN,AMAZON COM INC,2009m2
86868,91.08000183105469,GS,GOLDMAN SACHS GROUP INC,2009m2
84398,79.51999664306641,SPY,SPDR TRUST,2009m3
84788,3.672000122070313,AMZN,AMAZON COM INC,2009m3
86868,106.0199966430664,GS,GOLDMAN SACHS GROUP INC,2009m3
84398,87.41999816894531,SPY,SPDR TRUST,2009m4
84788,4.02599983215332,AMZN,AMAZON COM INC,2009m4
86868,128.5,GS,GOLDMAN SACHS GROUP INC,2009m4
84398,92.52999877929688,SPY,SPDR TRUST,2009m5
84788,3.899499893188477,AMZN,AMAZON COM INC,2009m5
86868,144.5700073242188,GS,GOLDMAN SACHS GROUP INC,2009m5
84398,91.94999694824219,SPY,SPDR TRUST,2009m6
84788,4.183000183105468,AMZN,AMAZON COM INC,2009m6
86868,147.4400024414063,GS,GOLDMAN SACHS GROUP INC,2009m6
84398,98.80999755859375,SPY,SPDR TRUST,2009m7
84788,4.288000106811523,AMZN,AMAZON COM INC,2009m7
86868,163.3000030517578,GS,GOLDMAN SACHS GROUP INC,2009m7
84398,102.4599990844727,SPY,SPDR TRUST,2009m8
84788,4.059500122070313,AMZN,AMAZON COM INC,2009m8
86868,165.4600067138672,GS,GOLDMAN SACHS GROUP INC,2009m8
84398,105.5899963378906,SPY,SPDR TRUST,2009m9
84788,4.668000030517578,AMZN,AMAZON COM INC,2009m9
86868,184.3500061035156,GS,GOLDMAN SACHS GROUP INC,2009m9
84398,103.5599975585938,SPY,SPDR TRUST,2009m10
84788,5.940499877929687,AMZN,AMAZON COM INC,2009m10
86868,170.1699981689453,GS,GOLDMAN SACHS GROUP INC,2009m10
